commit	quality_score	gate_pass	M1_palette	M2_dominant	M3_cct	M4_msssim	M5_edge	M6_texture	M7_vmaf	M8_temporal	M9_layer_indep	M10_role_cohere	model_version	elapsed_ms	status	description
none	0.6021	1	0.6149	0.7312	0.5679	0.2583	0.5999	0.8577	0.1701	0.9999	0.3216	0.8667	local-2026-03-29	143147	discard	exp #91
none	0.5978	1	0.6130	0.6876	0.5698	0.2598	0.5998	0.8654	0.1702	0.9999	0.3216	0.8667	local-2026-03-29	135441	discard	exp #92
none	0.5968	1	0.6186	0.6887	0.5693	0.2574	0.5984	0.8477	0.1714	0.9999	0.3216	0.8667	local-2026-03-29	135328	discard	exp #93
none	0.6018	1	0.6113	0.7185	0.5730	0.2636	0.5966	0.8668	0.1707	0.9999	0.3216	0.8667	local-2026-03-29	135662	discard	exp #94
none	0.5986	1	0.6192	0.6954	0.5685	0.2597	0.5967	0.8615	0.1698	0.9999	0.3216	0.8667	local-2026-03-29	137644	discard	exp #95
none	0.6042	1	0.6210	0.7232	0.5742	0.2636	0.5970	0.8742	0.1701	0.9999	0.3216	0.8667	local-2026-03-29	140908	discard	exp #96
none	0.6040	1	0.6206	0.7202	0.5761	0.2647	0.5981	0.8698	0.1720	0.9999	0.3216	0.8667	local-2026-03-29	135284	discard	exp #97
none	0.6030	1	0.6162	0.7201	0.5759	0.2643	0.5959	0.8676	0.1716	0.9999	0.3216	0.8667	local-2026-03-29	136308	discard	exp #98
none	0.6012	1	0.6217	0.7131	0.5708	0.2599	0.5967	0.8589	0.1713	0.9999	0.3216	0.8667	local-2026-03-29	135523	discard	exp #99
none	0.6030	1	0.6142	0.7179	0.5793	0.2639	0.5970	0.8650	0.1734	0.9999	0.3216	0.8667	local-2026-03-29	135936	discard	exp #100
none	0.6016	1	0.6164	0.7145	0.5718	0.2627	0.5966	0.8644	0.1713	0.9999	0.3216	0.8667	local-2026-03-29	137907	discard	exp #101
none	0.6027	1	0.6204	0.7113	0.5749	0.2624	0.5981	0.8722	0.1712	0.9999	0.3216	0.8667	local-2026-03-29	137794	discard	exp #102
none	0.6001	1	0.6191	0.6959	0.5762	0.2623	0.5955	0.8644	0.1713	0.9999	0.3216	0.8667	local-2026-03-29	137062	discard	exp #103
none	0.5998	1	0.6155	0.7178	0.5636	0.2578	0.5981	0.8564	0.1701	0.9999	0.3216	0.8667	local-2026-03-29	136123	discard	exp #104
none	0.6033	1	0.6237	0.7151	0.5790	0.2663	0.5962	0.8591	0.1729	0.9999	0.3216	0.8667	local-2026-03-29	139464	discard	exp #105
none	0.5999	1	0.6164	0.6896	0.5706	0.2605	0.5990	0.8837	0.1694	0.9999	0.3216	0.8667	local-2026-03-29	136581	discard	exp #106
none	0.6017	1	0.6184	0.7164	0.5744	0.2625	0.5955	0.8579	0.1717	0.9999	0.3216	0.8667	local-2026-03-29	139028	discard	exp #107
none	0.5987	1	0.6148	0.6921	0.5718	0.2601	0.5975	0.8662	0.1709	0.9999	0.3216	0.8667	local-2026-03-29	135473	discard	exp #108
none	0.5986	1	0.6094	0.7129	0.5641	0.2583	0.5979	0.8569	0.1701	0.9999	0.3216	0.8667	local-2026-03-29	134969	discard	exp #109
none	0.6016	1	0.6212	0.7206	0.5691	0.2595	0.5961	0.8581	0.1709	0.9999	0.3216	0.8667	local-2026-03-29	135138	discard	exp #110
none	0.6012	1	0.6192	0.7134	0.5700	0.2604	0.5958	0.8657	0.1698	0.9999	0.3216	0.8667	local-2026-03-29	137488	discard	exp #111
none	0.6017	1	0.6151	0.7201	0.5728	0.2620	0.5963	0.8601	0.1712	0.9999	0.3216	0.8667	local-2026-03-29	135636	discard	exp #112
none	0.5997	1	0.6159	0.7154	0.5684	0.2592	0.5973	0.8495	0.1714	0.9999	0.3216	0.8667	local-2026-03-29	134659	discard	exp #113
none	0.6011	1	0.6156	0.7165	0.5727	0.2611	0.5966	0.8566	0.1720	0.9999	0.3216	0.8667	local-2026-03-29	138174	discard	exp #114
none	0.5993	1	0.6181	0.7145	0.5698	0.2583	0.5969	0.8409	0.1723	0.9999	0.3216	0.8667	local-2026-03-29	136096	discard	exp #115
none	0.5991	1	0.6166	0.7010	0.5722	0.2594	0.5969	0.8565	0.1714	0.9999	0.3216	0.8667	local-2026-03-29	141779	discard	exp #116
none	0.6023	1	0.6161	0.7177	0.5748	0.2612	0.5980	0.8650	0.1719	0.9999	0.3216	0.8667	local-2026-03-29	137072	discard	exp #117
none	0.6007	1	0.6245	0.7176	0.5704	0.2590	0.5967	0.8422	0.1729	0.9999	0.3216	0.8667	local-2026-03-29	134744	discard	exp #118
none	0.6002	1	0.6137	0.7192	0.5707	0.2608	0.5938	0.8518	0.1716	0.9999	0.3216	0.8667	local-2026-03-29	137064	discard	exp #119
none	0.6028	1	0.6198	0.7180	0.5743	0.2638	0.5953	0.8662	0.1715	0.9999	0.3216	0.8667	local-2026-03-29	137612	discard	exp #120
none	0.6005	1	0.6150	0.7208	0.5682	0.2570	0.5980	0.8548	0.1708	0.9999	0.3216	0.8667	local-2026-03-29	136202	discard	exp #121
none	0.6011	1	0.6121	0.7201	0.5708	0.2601	0.5998	0.8580	0.1712	0.9999	0.3216	0.8667	local-2026-03-29	135562	discard	exp #122
none	0.6005	1	0.6128	0.7086	0.5685	0.2600	0.5982	0.8733	0.1690	0.9999	0.3216	0.8667	local-2026-03-29	138301	discard	exp #123
none	0.5983	1	0.6195	0.6909	0.5665	0.2580	0.5968	0.8687	0.1690	0.9999	0.3216	0.8667	local-2026-03-29	136744	discard	exp #124
none	0.6002	1	0.6165	0.7153	0.5649	0.2571	0.6009	0.8592	0.1703	0.9999	0.3216	0.8667	local-2026-03-29	134928	discard	exp #125
none	0.6014	1	0.6184	0.6952	0.5718	0.2619	0.5990	0.8879	0.1688	0.9999	0.3216	0.8667	local-2026-03-29	140221	discard	exp #126
none	0.6001	1	0.6155	0.7027	0.5741	0.2590	0.5980	0.8644	0.1712	0.9999	0.3216	0.8667	local-2026-03-29	135862	discard	exp #127
none	0.6016	1	0.6178	0.7161	0.5737	0.2628	0.5975	0.8552	0.1723	0.9999	0.3216	0.8667	local-2026-03-29	135271	discard	exp #128
